comunidad,libros,movil,concierto,radio,cine,deporte
Andalucia,88.4,85,8.3,76.7,40.4,36.3
Aragon,96.4,85.5,9.7,82.8,34.9,33.3
Asturias,90.7,84,9,70,28.9,34.7
Baleares,95.1,88.3,9.3,76.4,43.2,29.5
Canarias,91.6,86.5,6.6,84.3,43.9,26.4
Cantabria,96.9,85.8,8.3,77.3,49.6,19.4
CastillaLeon,93.9,77.5,9.2,76.5,34.2,30.8
CastillaMancha,92.3,84.3,11.4,76.6,40.3,32.3
Catalunia,85.7,77.9,7,72.9,42.4,36.7
Valencia,94.2,83.9,10.1,71.2,35.7,31.5
Extremadura,89.9,84.4,4.6,68.7,33.3,32.5
Galicia,91.6,79,10,77.8,28.4,33.5
Madrid,93.7,85.6,12.7,78.5,54.6,32.6
Murcia,90.7,79,11.1,77.8,40.4,27.1
Navarra,93.7,68.9,10.9,83.4,44,31.3
PaisVasco,95.3,79.3,12.4,78.5,38.8,35.6
Rioja,95.2,81.8,7.7,76.6,42.2,25.1
CeutaMelilla,91.4,88,7.4,65.8,41.2,35.7
